Name,Predicted dHm / kJ mol-1,dGc / kJ mol-1,dGc error ±,CAS,SMILES
BTP-eC9-4F,42.83987,-9.63897,1.11738,unkown,O=C(C1=CC(F)=C(F)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCC)C4=C3C(N5CC(CCCCCC)CCCC)=C(S4)C6=C5C(N(CC(CCCCCC)CCCC)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(F)C(F)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9CCCCCCCC)=C8C%12=NSN=C6%12
ITIC-4Cl,42.48241,-9.55854,1.11738,2253663-81-7,O=C1C2=C(C=C(Cl)C(Cl)=C2)C(/C1=C/C3=CC(S4)=C(S3)C5=C4C(C=C(C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8=C9SC%10=C8SC(/C=C%11\C(C(C=C(Cl)C(Cl)=C%12)=C%12C%11=O)=C(C#N)/C#N)=C%10)C9=C%13)=C%13C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)=C(C#N)/C#N
eC9-2Cl,42.26591,-9.50983,1.11738,unkown,O=C(C1=CC(Cl)=CC=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCC)CCCC)=C(S4)C6=C5C(N(CC(CCCC)CCCC)C7=C8SC9=C7SC(/C=C%10/C(C(C=CC(Cl)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12
BTP-4Cl_no_side_chains,41.50859,-9.33943,1.11738,unkown,O=C(C1=CC(Cl)=C(Cl)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=CC4=C3C(N5C)=C(S4)C6=C5C(N(C)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(Cl)C(Cl)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9)=C8C%12=NSN=C6%12
TPT10,39.43348,-8.87253,1.11738,2414381-17-0,O=C(C1=CC(Br)=CC=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCC)CC)=C(S4)C6=C5C(N(CC(CCCC)CC)C7=C8SC9=C7SC(/C=C%10/C(C(C=CC(Br)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12
Y6,39.41476,-8.86832,1.11738,2304444-49-1,O=C(C1=CC(F)=C(F)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCC)CC)=C(S4)C6=C5C(N(CC(CCCC)CC)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(F)C(F)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12
1M-COA-O1-Br,39.19978,-8.81995,1.11738,unkown,O=C(C1=CC(Br)=CC=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(OCCCCCCCCCCCC)C4=C3C(N5CC(CCCC)CC)=C(S4)C6=C5C(N(CC(CCCC)CC)C7=C8SC9=C7SC(/C=C%10/C(C(C=CC(Br)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9OCCCCCCCCCCCC)=C8C%12=NSN=C6%12
Y7,38.34467,-8.62755,1.11738,2414918-25-3,O=C(C1=CC(Cl)=C(Cl)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCC)CC)=C(S4)C6=C5C(N(CC(CCCC)CC)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(Cl)C(Cl)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12
BTP-eC9,38.34467,-8.62755,1.11738,2598965-39-8,O=C(C1=CC(Cl)=C(Cl)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CCCCCCCCCCC)C4=C3C(N5CC(CCCC)CC)=C(S4)C6=C5C(N(CC(CCCC)CC)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(Cl)C(Cl)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12
EH-IDTBR,36.12651,-8.12846,1.11738,2102510-60-9,O=C1/C(SC(N1CC)=S)=C/C(C2=NSN=C23)=CC=C3C(S4)=CC5=C4C6=CC(C(CC(CC)CCCC)(CC(CC)CCCC)C7=C8SC(C9=CC=C(/C=C(SC(N%10CC)=S)/C%10=O)C%11=NSN=C%119)=C7)=C8C=C6C5(CC(CC)CCCC)CC(CC)CCCC
COTIC-4F,35.30803,-7.94431,1.11738,2328118-91-6,CCC(CCCC)CC1(CC(CC)CCCC)C(C=C(C2=C(OCCC(CC)CCCC)C=C(/C=C3C(C(C=C(F)C(F)=C4)=C4C/3=C(C#N)\C#N)=O)S2)S5)=C5C6=C1C=C(C7=C(OCC(CC)CCCC)C=C(/C=C8/C(C9=CC(F)=C(F)C=C9C8=O)=C(C#N)/C#N)S7)S6
L8-BO,34.51505,-7.76589,1.11738,2668341-40-8,O=C(C1=CC(F)=C(F)C=C1C/2=C(C#N)\C#N)C2=C/C(S3)=C(CC(CCCC)CCCCCC)C4=C3C(N5CC(CCCC)CC)=C(S4)C6=C5C(N(CC(CCCC)CC)C7=C8SC9=C7SC(/C=C%10/C(C(C=C(F)C(F)=C%11)=C%11C%10=O)=C(C#N)\C#N)=C9CC(CCCC)CCCCCC)=C8C%12=NSN=C6%12
CO8-X-1M,33.98052,-7.64562,1.11738,unkown,CCC(CCCC)CC1(CC(CC)CCCC)C2=C(SC(C3=C(OC(CCCC)CC)C=C(C(C(C4=C/5C=CC=C4)=O)=CC5=C(C#N)\C#N)S3)=C2)C6=C1C=C(C7=C(OC(CCCC)CC)C=C(C(C(C8=C/9C=CC=C8)=O)=CC9=C(C#N)\C#N)S7)S6
IDIC-4Cl,32.00947,-7.20213,1.11738,2361961-01-3,O=C(C(C=C(Cl)C(Cl)=C1)=C1C/2=C(C#N)\C#N)C2=C\C3=CC(C4(CCCCCCCC)CCCCCCCC)=C(S3)C5=C4C=C(C(SC(/C=C6C(C(C=C(Cl)C(Cl)=C7)=C7C\6=C(C#N)/C#N)=O)=C8)=C8C9(CCCCCCCC)CCCCCCCC)C9=C5
COTIC-4Cl,31.42085,-7.06969,1.11738,2328092-51-7,CCC(CCCC)CC1(CC(CC)CCCC)C(C=C(C2=C(OCCC(CC)CCCC)C=C(/C=C3C(C(C=C(Cl)C(Cl)=C4)=C4C/3=C(C#N)\C#N)=O)S2)S5)=C5C6=C1C=C(C7=C(OCC(CC)CCCC)C=C(/C=C8/C(C9=CC(Cl)=C(Cl)C=C9C8=O)=C(C#N)/C#N)S7)S6
IDIC-4F,29.78274,-6.70112,1.11738,2229934-71-6,CCCCCCC1(CCCCCC)C2=C(SC(/C=C3C(C(C=C(F)C(F)=C4)=C4C\3=C(C#N)/C#N)=O)=C2)C5=CC6=C(C(SC(/C=C7C(C(C=C(F)C(F)=C8)=C8C/7=C(C#N)\C#N)=O)=C9)=C9C6(CCCCCC)CCCCCC)C=C51
IHIC,26.79983,-6.02996,1.11738,2127354-15-6,O=C1C2=C(C=CC=C2)C(/C1=C/C3=CC4=C(C(SC5=C6SC7=C5C(C8=CC=C(CCCCCC)C=C8)(C9=CC=C(CCCCCC)C=C9)C%10=C7SC(/C=C%11/C(C%12=CC=CC=C%12C%11=O)=C(C#N)/C#N)=C%10)=C6C4(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCC)C=C%14)S3)=C(C#N)\C#N
FBR,26.4938,-5.9611,1.11738,1644381-95-2,O=C1/C(SC(N1CC)=S)=C/C(C2=NSN=C23)=CC=C3C4=CC(C(CCCCCCCC)(CCCCCCCC)C5=C6C=CC(C7=CC=C(/C=C(SC(N8CC)=S)/C8=O)C9=NSN=C97)=C5)=C6C=C4
IDIC,24.77941,-5.57537,1.11738,1883441-92-6,CCCCCCC1(CCCCCC)C2=C(SC(/C=C3C(C(C=CC=C4)=C4C\3=C(C#N)/C#N)=O)=C2)C5=CC6=C(C(SC(/C=C7C(C(C=CC=C8)=C8C/7=C(C#N)\C#N)=O)=C9)=C9C6(CCCCCC)CCCCCC)C=C51
